AcresBurned,Active,AirTankers,ArchiveYear,CalFireIncident,CanonicalUrl,Counties,CrewsInvolved,Dozers,Engines,Extinguished,Fatalities,Featured,Final,FuelType,Helicopters,Injuries,Latitude,Longitude,MajorIncident,Name,PercentContained,PersonnelInvolved,Public,Started,Status,StructuresDamaged,StructuresDestroyed,StructuresEvacuated,StructuresThreatened,UniqueId,Updated,WaterTenders
147,FALSE,,2016,TRUE,/incidents/2016/8/20/bird-fire/,San Joaquin,,,,2016-08-20T18:45:00Z,,FALSE,TRUE,,,,37.62215,-121.36665,FALSE,Bird Fire,100,,TRUE,2016-08-20T08:35:00Z,Finalized,,,,,86166c24-3a85-42e3-a53a-ebb1d935fb8a,2016-08-20T18:45:00Z,
145,FALSE,,2016,TRUE,/incidents/2016/7/4/frame-fire/,Fresno,,,,2016-07-07T19:00:00Z,,FALSE,TRUE,,,,36.14161,-120.62048,FALSE,Frame Fire,100,,TRUE,2016-07-04T17:15:00Z,Finalized,,,,,e55dd16e-1712-4b97-a2f3-add0877b98cd,2016-07-07T19:00:00Z,
140,FALSE,,2016,TRUE,/incidents/2016/8/4/maze-fire/,Stanislaus,,,,2016-08-04T20:00:00Z,,FALSE,TRUE,,,,0,0,FALSE,Maze Fire,100,,TRUE,2016-08-04T15:45:00Z,Finalized,,,,,380634ff-2fe6-48b0-a1f6-97a889551d2f,2016-08-04T20:00:00Z,
139,FALSE,,2016,TRUE,/incidents/2016/6/4/temecula-fire/,Riverside,,,,2016-06-07T18:15:00Z,,FALSE,TRUE,,,1,33.476894,-117.140883,TRUE,Temecula Fire,100,,TRUE,2016-06-04T11:40:00Z,Finalized,,,,,403e6185-c0e1-4b8f-a290-b50553a47b67,2016-06-07T18:15:00Z,
138,FALSE,,2016,TRUE,/incidents/2016/7/15/famoso-fire/,Kern,,,,2016-07-16T07:40:00Z,,FALSE,TRUE,,,,35.60748,-118.94811,FALSE,Famoso Fire,100,,TRUE,2016-07-15T23:55:00Z,Finalized,,,,,73083049-8bc2-4444-911b-f3d0812fb70c,2016-07-16T07:40:00Z,
132,FALSE,,2016,TRUE,/incidents/2016/5/15/avocado-fire/,Fresno,,,,2016-05-17T19:10:00Z,,FALSE,TRUE,,,,36.78769,-119.38248,FALSE,Avocado Fire,100,,TRUE,2016-05-15T16:38:00Z,Finalized,,,,,f1769b9d-c522-4a0d-92a7-f9c8321b9f1d,2016-05-17T19:10:00Z,
130,FALSE,,2016,TRUE,/incidents/2016/9/22/bangor-fire/,Butte,,,,2016-09-23T10:30:00Z,,FALSE,TRUE,,,,39.4403,-121.42647,FALSE,Bangor Fire,100,,TRUE,2016-09-22T11:45:00Z,Finalized,,,,,b4940174-75d0-4f5e-b505-4a66c17a9157,2016-09-23T10:30:00Z,
123,FALSE,,2016,TRUE,/incidents/2016/7/15/green-fire/,Fresno,,,,2016-07-16T18:00:00Z,,FALSE,TRUE,,,,37.0099,-119.5792,TRUE,Green Fire,100,,TRUE,2016-07-15T16:45:00Z,Finalized,,,,,a32de567-3d32-434a-9128-7947deaec3bb,2016-07-16T18:00:00Z,
122,FALSE,,2016,FALSE,/incidents/2016/8/5/rock-creek-fire/,Mono,,,,2016-08-07T19:33:00Z,,FALSE,TRUE,,,,0,0,FALSE,Rock Creek Fire,100,,TRUE,2016-08-05T15:45:00Z,Finalized,,,,,0539e095-5108-4b9a-8736-65772440e9e8,2016-08-07T19:33:00Z,
120,FALSE,,2016,TRUE,/incidents/2016/6/7/coe-fire/,Stanislaus,,,,2016-06-09T17:10:00Z,,FALSE,TRUE,,,,37.17072,-121.42238,FALSE,Coe Fire,100,,TRUE,2016-06-07T16:30:00Z,Finalized,,,,,648cfdd4-f3f5-4faf-8ab1-a6f2cb5d9a6c,2016-06-09T17:10:00Z,
114,FALSE,,2016,TRUE,/incidents/2016/7/30/sierra-fire/,Santa Clara,,,,2016-07-31T18:30:00Z,,FALSE,TRUE,,,,37.41896,-121.79669,FALSE,Sierra Fire,100,,TRUE,2016-07-30T17:25:00Z,Finalized,,,,,4c88252e-34a5-4912-a590-2c4539866c62,2016-07-31T18:30:00Z,
112,FALSE,,2016,TRUE,/incidents/2016/6/20/coal-fire/,Butte,,,,2016-06-20T19:50:00Z,,FALSE,TRUE,,,,39.595,-121.6008,FALSE,Coal Fire,100,,TRUE,2016-06-20T16:38:00Z,Finalized,,,,,5f422963-a30c-4cda-9427-7a0e028b6039,2016-06-20T19:50:00Z,
103,FALSE,,2016,TRUE,/incidents/2016/7/4/broken-fire/,Madera,,,,2016-07-06T20:00:00Z,,FALSE,TRUE,,,,37.25601,-119.65776,FALSE,Broken Fire,100,,TRUE,2016-07-04T11:53:00Z,Finalized,,,,,8e920d15-72f4-4e76-a3b4-22a364d6cf19,2019-07-01T13:08:20.56Z,
100,FALSE,,2016,TRUE,/incidents/2016/9/25/cow-fire/,Shasta,,,,2016-09-25T13:15:00Z,,FALSE,TRUE,,,,40,-121.93923,FALSE,Cow Fire,100,,TRUE,2016-09-25T07:15:00Z,Finalized,,,,,8a4c92b3-c1aa-41e0-aaed-999d73f0a418,2016-09-25T13:15:00Z,
100,FALSE,,2016,TRUE,/incidents/2016/8/17/bailey-fire/,Santa Clara,,,,2016-08-18T19:50:00Z,,FALSE,TRUE,,,,0,0,FALSE,Bailey Fire,100,,TRUE,2016-08-17T15:19:00Z,Finalized,,,,,40dec759-8a09-439c-8c95-14b4a248c033,2016-08-18T19:50:00Z,
100,FALSE,,2016,TRUE,/incidents/2016/8/4/hart-fire/,Kern,,,,2016-08-07T20:15:00Z,,FALSE,TRUE,,,,35.24504,-118.60344,FALSE,Hart Fire,100,,TRUE,2016-08-04T17:10:00Z,Finalized,,,,,f645bf93-57a3-4fdf-9544-d255f8311dc9,2016-08-07T20:15:00Z,
100,FALSE,,2016,TRUE,/incidents/2016/8/3/diablo-fire/,Stanislaus,,,,2016-08-04T07:45:00Z,,FALSE,TRUE,,,,0,0,FALSE,Diablo Fire,100,,TRUE,2016-08-03T16:08:00Z,Finalized,,,,,e952af56-3233-4e53-b611-d437220ea750,2016-08-04T07:45:00Z,
100,FALSE,,2016,TRUE,/incidents/2016/7/22/bradley-fire/,Monterey,,,,2016-07-23T08:45:00Z,,FALSE,TRUE,,,,35.85093,-120.81081,FALSE,Bradley Fire,100,,TRUE,2016-07-22T15:15:00Z,Finalized,,,,,947aab39-3d8a-4841-8fc3-d129d8bbf6a3,2016-07-23T08:45:00Z,
100,FALSE,,2016,TRUE,/incidents/2016/7/18/feather-fire/,San Diego,,,,2016-07-20T13:45:00Z,,FALSE,TRUE,,,,32.9612,-116.7945,FALSE,Feather Fire,100,,TRUE,2016-07-18T13:08:00Z,Finalized,,,,,d96a2f4f-8e4d-4534-abe2-d90530e2bbc3,2016-07-20T13:45:00Z,
95,FALSE,,2016,TRUE,/incidents/2016/7/9/mercury-fire/,San Benito,,,,2016-07-10T19:30:00Z,,FALSE,TRUE,,,,5487,-120.841536,FALSE,Mercury Fire,100,,TRUE,2016-07-09T12:43:00Z,Finalized,,,,,2a04ab08-1412-4a3d-b6b2-7e5fc48f99e5,2019-07-01T13:08:12.833Z,
